"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap","SMA (5)","FII Holding","Return on Equity","Return On Assets","Market Cap/Sales","YoY last Quarterly Sales Growth","YoY last Quarterly Profit Growth","EBITDA Growth % (Year)"
"Oil & Natural Gas Corporation","238.95","-3.50","-1.44%","67,11,630.00","7.57","3,05,008.90","249.62","7.53","15.64","10.22","0.52","-0.75","-6.92","34.85"
"NTPC","305.60","-4.90","-1.58%","1,32,41,830.00","13.69","3,01,081.50","313.09","18.20","12.31","5.33","1.69","5.21","-0.75","8.60"
"Titan","3,281.80","-45.65","-1.37%","9,03,965.00","91.26","2,95,406.40","3,387.14","18.11","37.22","23.27","5.78","25.69","-0.57","12.30"
"Bajaj Finserv","1,744.85","-47.55","-2.65%","19,44,713.00","33.39","2,86,185.70","1,784.07","7.40","15.03","4.28","2.59","9.25","9.06","36.97"
"Adani Enterprises","2,321.75","30.95","1.35%","48,95,456.00","67.47","2,64,399.70","2,317.68","11.73","7.45","2.82","2.74","-8.79","-88.41","32.21"
"Tata Motors","677.75","-18.25","-2.62%","1,19,39,990.00","8.05","2,56,206.30","701.44","18.66","34.17","16.14","0.59","2.76","-21.93","79.16"
"Hindustan Aeronautics","3,649.45","-137.20","-3.62%","15,51,384.00","29.71","2,53,241.70","3,768.83","12.26","26.15","18.24","8.34","6.04","22.14","39.39"
"Power Grid Corporation of India","261.45","-7.25","-2.70%","2,20,83,955.00","16.08","2,49,907.20","274.93","28.12","18.53","7.80","5.45","-2.74","-4.14","1.16"
"Bajaj Auto","8,762.00","-118.55","-1.33%","2,82,926.00","32.91","2,47,996.10","8,881.22","12.45","26.61","25.48","5.53","6.70","8.02","33.51"
"Adani Ports & SEZ","1,140.10","-4.10","-0.36%","49,01,591.00","23.24","2,47,163.10","1,147.76","13.94","15.69","8.35","9.25","15.08","14.05","38.01"
"Avenue Supermarts DMart","3,682.70","-39.35","-1.06%","3,15,000.00","89.03","2,42,206.10","3,752.48","8.96","13.56","13.21","4.77","17.68","4.79","12.85"
"JSW Steel","954.50","-4.65","-0.48%","25,35,726.00","66.40","2,34,555.70","958.54","25.59","11.25","5.53","1.34","-1.32","-70.65","49.36"
"Coal India","359.00","-11.50","-3.10%","68,03,431.00","6.63","2,28,329.10","374.04","8.58","44.71","21.18","1.60","-1.98","-17.49","10.12"
