"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"20-Sep-2024","EQ","1,851.10","1,871.00","1,841.90","1,846.05","1,867.05","1,865.75","1,859.29","1,873.35","1,068.35","42,29,991","7,86,47,59,127.40","1,58,236"
"19-Sep-2024","EQ","1,845.20","1,856.00","1,835.00","1,836.00","1,845.55","1,846.05","1,847.03","1,873.35","1,068.35","16,75,819","3,09,52,93,177.15","96,788"
"18-Sep-2024","EQ","1,868.00","1,868.00","1,829.60","1,866.10","1,833.35","1,836.00","1,845.39","1,873.35","1,068.35","12,02,676","2,21,94,07,801.70","76,355"
"17-Sep-2024","EQ","1,863.00","1,869.65","1,859.25","1,862.95","1,865.00","1,866.10","1,865.02","1,873.35","1,068.35","7,38,265","1,37,68,76,340.20","58,493"
"16-Sep-2024","EQ","1,862.00","1,873.35","1,850.90","1,853.75","1,864.00","1,862.95","1,863.46","1,873.35","1,068.35","12,84,085","2,39,28,46,583.40","50,731"
"13-Sep-2024","EQ","1,865.00","1,865.00","1,851.40","1,865.40","1,853.00","1,853.75","1,856.53","1,871.50","1,068.35","13,22,430","2,45,51,27,939.50","55,041"
"12-Sep-2024","EQ","1,855.15","1,871.50","1,840.40","1,845.70","1,858.60","1,865.40","1,857.50","1,871.50","1,068.35","27,44,070","5,09,70,96,736.05","1,16,803"
"11-Sep-2024","EQ","1,836.40","1,857.50","1,831.10","1,836.35","1,850.90","1,845.70","1,849.65","1,857.50","1,068.35","17,01,900","3,14,79,16,923.95","91,741"
"10-Sep-2024","EQ","1,830.00","1,842.25","1,825.70","1,821.85","1,836.10","1,836.35","1,836.50","1,850.00","1,068.35","14,60,472","2,68,21,52,065.25","92,559"
"09-Sep-2024","EQ","1,824.55","1,835.40","1,812.85","1,824.55","1,817.10","1,821.85","1,819.57","1,850.00","1,068.35","15,44,883","2,81,10,16,062.50","95,530"
"06-Sep-2024","EQ","1,819.55","1,850.00","1,805.00","1,826.50","1,829.65","1,824.55","1,824.25","1,850.00","1,068.35","17,01,134","3,10,32,94,752.60","1,01,459"
"05-Sep-2024","EQ","1,833.20","1,843.90","1,820.00","1,832.85","1,825.05","1,826.50","1,833.61","1,843.90","1,068.35","19,02,919","3,48,92,11,644.70","1,03,900"
"04-Sep-2024","EQ","1,811.50","1,835.00","1,801.30","1,811.50","1,833.00","1,832.85","1,821.94","1,839.55","1,068.35","24,73,477","4,50,65,16,145.90","99,722"
"03-Sep-2024","EQ","1,820.00","1,839.55","1,805.10","1,815.95","1,807.85","1,811.50","1,824.84","1,839.55","1,068.35","21,48,689","3,92,10,16,821.60","1,15,219"
"02-Sep-2024","EQ","1,829.95","1,837.00","1,805.20","1,821.65","1,816.30","1,815.95","1,819.51","1,837.00","1,068.35","16,17,946","2,94,38,61,357.20","1,08,702"
"30-Aug-2024","EQ","1,798.15","1,828.15","1,791.30","1,799.20","1,823.35","1,821.65","1,819.60","1,828.15","1,068.35","30,36,374","5,52,49,99,622.75","94,251"
"29-Aug-2024","EQ","1,809.90","1,826.85","1,790.25","1,811.85","1,799.80","1,799.20","1,804.62","1,826.85","1,068.35","32,05,924","5,78,54,75,793.50","1,38,915"
"28-Aug-2024","EQ","1,796.90","1,823.00","1,786.35","1,789.40","1,816.80","1,811.85","1,806.91","1,823.00","1,068.35","17,68,949","3,19,63,32,228.90","92,975"
"27-Aug-2024","EQ","1,778.00","1,792.60","1,767.15","1,772.45","1,789.00","1,789.40","1,787.74","1,792.60","1,068.35","12,31,023","2,20,07,43,941.80","52,821"
"26-Aug-2024","EQ","1,780.00","1,780.00","1,764.50","1,775.75","1,770.70","1,772.45","1,772.85","1,781.45","1,068.35","9,33,372","1,65,47,27,924.70","71,159"
"23-Aug-2024","EQ","1,753.75","1,781.45","1,751.90","1,750.65","1,775.00","1,775.75","1,766.10","1,781.45","1,068.35","35,15,492","6,20,87,04,018.25","98,314"
"22-Aug-2024","EQ","1,769.50","1,769.50","1,748.40","1,764.65","1,753.00","1,750.65","1,755.63","1,771.95","1,068.35","13,69,554","2,40,44,28,089.85","89,865"
"21-Aug-2024","EQ","1,770.00","1,771.95","1,757.30","1,766.35","1,764.00","1,764.65","1,764.22","1,771.95","1,068.35","11,84,193","2,08,91,72,374.30","65,307"
"20-Aug-2024","EQ","1,751.80","1,770.80","1,745.15","1,747.80","1,764.05","1,766.35","1,759.96","1,770.80","1,068.35","17,66,597","3,10,91,33,744.30","90,223"
